variant_name,mask_name,width_core,halo_width,keep_core,keep_halo,side_sigma,feather_radius,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_outside_ratio
D85b_wc5_h8_kc0.10_kh0.2_s15,D85b,5,8,0.1,0.2,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,203.37730407714844,152.01609802246094,0.0,203377304.07714844
D85b_wc5_h8_kc0.10_kh0.3_s15,D85b,5,8,0.1,0.3,15.0,2.0,9.916012558869703,21.94753183324612,31.863544392115823,203.37730407714844,133.01402282714844,0.0,203377304.07714844
D85b_wc7_h4_kc0.00_kh0.2_s10,D85b,7,4,0.0,0.2,10.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,215.11297607421875,142.50799560546875,0.0,215112976.07421875
D85b_wc7_h4_kc0.00_kh0.3_s10,D85b,7,4,0.0,0.3,10.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,215.11297607421875,124.6944351196289,0.0,215112976.07421875
D85b_wc7_h4_kc0.05_kh0.2_s10,D85b,7,4,0.05,0.2,10.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,204.35731506347656,142.50799560546875,0.0,204357315.06347656
D85b_wc7_h4_kc0.05_kh0.3_s10,D85b,7,4,0.05,0.3,10.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,204.35731506347656,124.6944351196289,0.0,204357315.06347656
D85b_wc7_h4_kc0.10_kh0.2_s10,D85b,7,4,0.1,0.2,10.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,193.60165405273438,142.50799560546875,0.0,193601654.05273438
D85b_wc7_h4_kc0.10_kh0.3_s10,D85b,7,4,0.1,0.3,10.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,193.60165405273438,124.6944351196289,0.0,193601654.05273438
D85b_wc7_h4_kc0.00_kh0.2_s15,D85b,7,4,0.0,0.2,15.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,216.10438537597656,148.1473846435547,0.0,216104385.37597656
D85b_wc7_h4_kc0.00_kh0.3_s15,D85b,7,4,0.0,0.3,15.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,216.10438537597656,129.6288604736328,0.0,216104385.37597656
D85b_wc7_h4_kc0.05_kh0.2_s15,D85b,7,4,0.05,0.2,15.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,205.29910278320312,148.1473846435547,0.0,205299102.78320312
D85b_wc7_h4_kc0.05_kh0.3_s15,D85b,7,4,0.05,0.3,15.0,2.0,14.983673469387753,10.643101343101343,25.6267748124891,205.29910278320312,129.6288604736328,0.0,205299102.78320312
